para_name,register_address,dimension,decimal
GEN_RPM,1001,RPM,0
GEN_FREQ,1036,Hz,1
GEN_V_L1-N,1037,V,0
GEN_V_L2-N,1038,V,0
GEN_V_L3-N,1039,V,0
GEN_V_L1-L2,1040,V,0
GEN_V_L2-L3,1041,V,0
GEN_V_L3-L1,1042,V,0
LOAD_A_L1,1043,A,0
LOAD_A_L2,1044,A,0
LOAD_A_L3,1045,A,0
BAT_VOLT,1046,V,1
CHR_VOLT,1047,V,1
OIL_PRESSURE,1048,Bar,1
COOLANT_TEMP,1049,DEG_CELCIUS,0
NOM_kW,1221,kW,0
NOM_V,1224,V,0
NOM_A,1225,A,0
